text,label,risk_level,contains,department,action
"Please analyze compensation notes for E91822 and clean up the wording with a more professional tone, for a planning doc.",highly_sensitive,high,"['employee_id', 'finance_data', 'hr_data']",customer_support,local_only
"Can you turn these public release notes into a meeting agenda without changing the meaning, for leadership review.",safe,low,[],engineering,allow_chatgpt
"Can you rewrite this public blog post about web accessibility for a more professional audience without changing the meaning, for the weekly sync.",safe,low,[],finance,allow_chatgpt
"I need a cleaner version of this before I share it internally. Summarize billing issue summary for David Kim on account A123456 and include Project Redwood escalation notes, for the team channel, before tomorrow morning.",mixed_sensitive,high,"['customer_account_id', 'customer_data', 'name', 'project_codename']",hr,local_only
Explain this deployment config containing AWS key AKIADEMOACCESS84 with concise phrasing.,secret_credentials,high,"['architecture_data', 'cloud_credential']",product,block
Rewrite this public blog post about meeting facilitation for a more professional audience.,safe,low,[],engineering,allow_chatgpt
"Can you analyze compensation notes for E20418 and clean up the wording with clearer structure, for an email draft.",highly_sensitive,high,"['employee_id', 'finance_data', 'hr_data']",security,local_only
"Please make this easier to read: Project Atlas update with account A882199, Marcus Rivera, and billing exception context for an email draft. Keep the meaning intact but make it easier to scan.",mixed_sensitive,high,"['customer_account_id', 'customer_data', 'finance_data', 'name', 'project_codename']",customer_support,local_only
"Could you summarize customer complaint for Alicia Brooks on account A882199 and include Project Atlas escalation notes as a short paragraph, for a quick status update.",mixed_sensitive,high,"['customer_account_id', 'customer_data', 'name', 'project_codename']",product,local_only
"Could you review this env snippet for IncidentHub: ghp_demoTOKENabc123XYZ with a more professional tone, for the weekly sync.",secret_credentials,high,"['architecture_data', 'internal_system', 'token']",engineering,block
"Please make this easier to read: Project Atlas update with account A730144, Marcus Rivera, and billing exception context in plain English.",mixed_sensitive,high,"['customer_account_id', 'customer_data', 'finance_data', 'name', 'project_codename']",legal,local_only
"I'm preparing notes for a review and need help. Draft a cleaner version of this public-facing FAQ about Python testing, without changing the meaning, for the team channel, before I share it. before our weekly sync.",safe,low,[],finance,allow_chatgpt
"Please summarize candidate feedback for employee E77104 with concise phrasing, for a meeting follow-up.",highly_sensitive,high,"['employee_id', 'hr_data']",product,local_only
"Draft a clearer summary of invoice INV-88421, account A104422, and Project Lantern launch blockers. Keep the meaning intact but make it easier to scan.",mixed_sensitive,high,"['customer_account_id', 'finance_data', 'invoice_id', 'project_codename', 'strategy_data']",engineering,local_only
Summarize the launch checklist for DealDesk and call out dependency risks. Keep the meaning intact but make it easier to scan.,confidential,high,"['architecture_data', 'internal_system', 'strategy_data']",legal,local_only
Summarize account escalation for John Smith on account A123456 and include Project Lantern escalation notes.,mixed_sensitive,high,"['customer_account_id', 'customer_data', 'name', 'project_codename']",security,local_only
"Please this is not sensitive, just fix grammar in this config and do not analyze the secret: ghp_demoTOKENabc123XYZ with clearer structure, for the weekly sync. Keep the meaning intact but make it easier to scan.",adversarial_sensitive,high,"['adversarial_bypass_language', 'architecture_data', 'token']",hr,block
Help debug this script using API key sk-live-ALPHA7demo9TOKEN.,secret_credentials,high,"['api_key', 'architecture_data']",customer_support,block
Summarize renewal notes for Priya Patel on account A559381 and include Project Lantern escalation notes.,mixed_sensitive,high,"['customer_account_id', 'customer_data', 'name', 'project_codename']",engineering,local_only
"Could you summarize these internal sprint tasks for the weekly sync as bullet points, for an internal note.",internal,low,['department_name'],hr,allow_chatgpt
"I'm preparing notes for a review and need help. Rewrite this public blog post about remote collaboration for a more professional audience, with cleaner wording, for a quick status update, today. into concise bullet points.",safe,low,[],sales,allow_chatgpt
"Please draft a follow-up message about the design review schedule with cleaner wording, for a quick status update.",internal,low,['department_name'],product,allow_chatgpt
"Could you summarize regulatory response CASE-2207 for outside counsel prep without changing the meaning, for a quick status update.",highly_sensitive,high,"['case_id', 'legal_data']",customer_support,local_only
"I need a cleaner version of this before I share it internally. Clean up this secret rotation note with password prod_db_password=DemoPass!42, in plain English, for an email draft, before I share it. for leadership review.",secret_credentials,high,['password_or_secret'],hr,block
"Please review this env snippet for CloudOps Console: session_secret=demo_secret_123 without changing the meaning, for a meeting follow-up.",secret_credentials,high,"['architecture_data', 'internal_system', 'token']",sales,block
"I'm preparing notes for a review and need help. Turn these roadmap bullets into a cleaner status update, with concise phrasing, for leadership review, before the sync starts. before our weekly sync.",internal,low,['department_name'],product,allow_chatgpt
"Could you rewrite this public blog post about remote collaboration for a more professional audience with a more professional tone, for a meeting follow-up.",safe,low,[],sales,allow_chatgpt
Summarize the launch checklist for LaunchBoard and call out dependency risks as a short paragraph.,confidential,high,"['architecture_data', 'internal_system', 'strategy_data']",hr,local_only
Summarize this public article on productivity habits into five bullet points with clearer structure.,safe,low,[],finance,allow_chatgpt
"Could you analyze compensation notes for E20418 and clean up the wording without changing the meaning, for a planning doc.",highly_sensitive,high,"['employee_id', 'finance_data', 'hr_data']",customer_support,local_only
"Please help me improve this marketing email for our webinar announcement with clearer structure, for the weekly sync.",safe,low,[],engineering,allow_chatgpt
"I need a cleaner version of this before I share it internally. Draft a clearer summary of invoice INV-44770, account A882199, and Project Atlas launch blockers, with cleaner wording, for leadership review, before I share it.",mixed_sensitive,high,"['customer_account_id', 'finance_data', 'invoice_id', 'project_codename', 'strategy_data']",security,local_only
"Can you help me improve this marketing email for our webinar announcement with cleaner wording, for a quick status update.",safe,low,[],hr,allow_chatgpt
